brand,model,processor_brand,processor_name,processor_gnrtn,ram_GB,ram_type,ssd,hdd,os,os_bit,graphic_card_GB,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
acer,Aspire,AMD,Athlon Dual,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,415.87,480.87,13.52%,4.2,76,13
acer,Aspire,AMD,Ryzen,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,714.87,1157.00,38.21%,4.5,3190,414
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,779.87,1299.99,40.01%,4.5,1946,240
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,6,Casual,Missing,0,No,No,1218.10,1807.00,32.59%,4.5,259,47
acer,Nitro,AMD,Ryzen 5,10th,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,948.87,1299.99,27.01%,4.5,425,67
acer,Aspire,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,506.87,688.99,26.43%,0,0,0
acer,Chromebook,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,311.87,351.00,11.15%,3.3,61,4
acer,Missing,Intel,Core i3,11th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,480.99,585.00,17.78%,0,0,0
acer,Travelmate,Intel,Core i3,11th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,532.87,780.00,31.68%,4.2,38,2
acer,Predator,Intel,Core,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,1299.87,1949.99,33.34%,4.5,1336,186
acer,Aspire,Intel,Core i5,Missing,8 GB,DDR5,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,662.87,1169.99,43.34%,4.4,10966,1185
acer,Spin,Intel,Core i5,Missing,8 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,1,No,No,1559.87,1623.70,3.93%,4,1,1
acer,Swift,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,1224.47,1624.99,24.65%,4.3,31,6
acer,Swift,Intel,Core i5,7th,8 GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,1129.27,1299.99,13.13%,4.4,39,3
acer,Swift,Intel,Core i5,8th,8 GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,Yes,Yes,1065.97,1076.39,0.97%,4,14,3
acer,Swift,Intel,Core i5,8th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,773.37,852.10,9.24%,3.5,33,7
acer,Aspire,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,688.87,987.99,30.28%,4.2,155,20
acer,Aspire,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,727.99,987.99,26.32%,4.5,6,0
acer,Intel,Intel,Core i5,11th,8 GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,792.87,1169.99,32.23%,4.4,17,1
acer,Aspire,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,753.87,845.00,10.78%,0,0,0
acer,ConceptD,Intel,Core i5,8th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,Missing,1,No,No,1293.50,1559.99,17.08%,0,0,0
acer,Swift,Intel,Core i5,8th,8 GB,DDR3,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,844.87,1143.99,26.15%,3.8,4,1
acer,Intel,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,Yes,No,1429.99,0.00,0.00%,0,0,0
